player_id,family_name,given_name,birth_date,count_tournaments
P-05074,A'Court,Alan,1934-09-30,1
P-00942,Abadzhiev,Stefan,1934-07-03,1
P-03051,Abalo,Jean-Paul,1975-06-26,1
P-03371,Abanda,Patrice,1978-08-03,1
P-04977,Abate,Ignazio,1986-11-12,1
P-06675,Abbadie,Julio,1930-09-07,1
P-02825,Abbes,Claude,1927-05-24,2
P-06214,Abbiati,Christian,1977-07-08,1
P-05883,Abbondanzieri,Roberto,1972-08-19,1
P-06019,Abd Al-Jawad,Mohamed,1962-11-28,1
P-06687,Abdel Rahman,Adel,1967-12-11,1
P-08319,Abdel Shafy,Mohamed,1985-07-01,1
P-00067,Abdel-Hamid,Gamal,1957-11-24,1
P-02311,Abdelghani,Magdi,1959-07-27,1
P-09113,Abdellah,Nacer,1966-03-03,1
P-01763,Abdollahi,Nasrollah,1951-09-02,1
P-02876,Abdoun,Djamel,1986-02-14,1
P-04573,Abdulghani,Hussein,1977-01-21,2
P-04135,Abdulghani,Hussein,1977-01-23,1
P-01597,Abdullah,Majed,1959-11-01,1
P-08180,Abdullahi,Shehu,1993-03-12,1
P-00800,Abdulrahman,Fahad,1962-10-10,1
P-05270,Abe,Yuki,1981-09-06,1
P-08280,Abedzadeh,Ahmad Reza,1966-05-25,1
P-04364,Abedzadeh,Amir,1993-04-26,1
P-09062,Abega,Théophile,1954-07-09,1
P-05367,Abegglen,André,1909-03-07,2
P-01401,Abel,not applicable,1952-09-01,1
P-08746,Abelardo,not applicable,1970-03-19,2
P-08688,Abeledo,Ramón,1937-04-29,1
P-01155,Abid,Anad,1955-08-03,1
P-01210,Abidal,Eric,1979-09-11,2
P-06418,Ablanedo,Juan Carlos,1963-09-02,2
P-03781,Abonyi,Attila,1946-08-16,1
P-00061,Aboubakar,Vincent,1992-01-22,2
P-05726,Abouzeid,Taher,1962-04-10,1
P-03821,Abrahamsson,Henock,1909-10-29,1
P-03561,Abramczik,Rüdiger,1956-02-18,1
P-07032,Abrami,Lahcen,1969-12-31,1
